"BU_DESC__c","BU_ID__c","Code_Indexing__c","COUNTRY_ID__c","COUNTRY__c","GM_DESC__c","GM_ID__c","Id","MARKET_DESC__c","MARKET_ID__c","Name","OwnerId","Product_Id__c","Product_Name__c","RHMS_Vertical_Id__c","SBU1_DESC__c","SBU1_ID__c","SBU2_DESC__c","SBU2_ID__c","STATE_ID__c","SUBVERTICAL_DESC__c","SUBVERTICAL_ID__c","VERTICAL_DESC__c","VERTICAL_ID__c"
"","","ITA||AP","ITA","Italy","","","a0h0q000004KjPNAA0","","","Ascoli Piceno","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","NLD||AP","NLD","Netherlands","","","a0h0q000004KjPOAA0","","","Alphen Aan Den Rijn","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","PHL||AP","PHL","Philippines","","","a0h0q000004KjPPAA0","","","Apayao","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","PRY||AP","PRY","Paraguay","","","a0h0q000004KjPQAA0","","","Alto ParanÃ¡","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","USA||AP","USA","United States","","","a0h0q000004KjPRAA0","","","Armed Forces Pacific","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","VEN||AP","VEN","Venezuela","","","a0h0q000004KjPSAA0","","","Apure","0050q0000036HRvAAM","","","","","","","","AP","","","",""
"","","ARE||AQ","ARE","United Arab Emirates","","","a0h0q000004KjPTAA0","","","Umm al-Quwain","0050q0000036HRvAAM","","","","","","","","AQ","","","",""
"","","FRA||AQ","FRA","France","","","a0h0q000004KjPUAA0","","","Aquitaine","0050q0000036HRvAAM","","","","","","","","AQ","","","",""
"","","ITA||AQ","ITA","Italy","","","a0h0q000004KjPVAA0","","","LAquila","0050q0000036HRvAAM","","","","","","","","AQ","","","",""
"","","NLD||AQ","NLD","Netherlands","","","a0h0q000004KjPWAA0","","","Alkmaar","0050q0000036HRvAAM","","","","","","","","AQ","","","",""
"","","ABW||AR","ABW","Aruba","","","a0h0q000004KjPXAA0","","","Aruba","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","ARM||AR","ARM","Armenia","","","a0h0q000004KjPYAA0","","","Armenia","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","CHE||AR","CHE","Switzerland","","","a0h0q000004KjPZAA0","","","Appenzell Outer-Rhodes","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","CHL||AR","CHL","Chile","","","a0h0q000004KjPaAAK","","","Araucania","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","ESP||AR","ESP","Spain","","","a0h0q000004KjPbAAK","","","Aragon","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","FRA||AR","FRA","France","","","a0h0q000004KjPcAAK","","","Ardeche","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","GBR||AR","GBR","United Kingdom","","","a0h0q000004KjPdAAK","","","Ards","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","IND||AR","IND","India","","","a0h0q000004KjPeAAK","","","Arunachal Pradesh","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","IRL||AR","IRL","Ireland","","","a0h0q000004KjPfAAK","","","Armagh","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","ITA||AR","ITA","Italy","","","a0h0q000004KjPgAAK","","","Arezzo","0050q0000036HRvAAM","","","","","","","","AR","","","",""
"","","NLD||AR","NLD","Netherlands","","","a0h0q000004KjPhAAK","","","Ambt Montfort","0050q0000036HRvAAM","","","","","","","","AR","","","",""
